,caption,image_files,prob
0,a blue and blue sign on a blue wall.,../friends/63.jpg,0.000209390061547
1,a woman and woman are playing a video game.,../friends/62.jpg,0.000318796504873
2,a woman and woman are playing a video game.,../friends/60.jpg,0.00107654110137
3,a woman is standing in front of a mirror.,../friends/48.jpg,0.00025429260456
4,a couple of people standing in a kitchen.,../friends/49.jpg,0.000807853893066
5,two women are talking on a cell phone.,../friends/61.jpg,0.00446267005259
6,a woman and woman are sitting at a table.,../friends/59.jpg,0.00028089376887
7,a blue and blue sign on a blue wall.,../friends/65.jpg,0.000145733440276
8,a blue and blue sign on a blue wall.,../friends/64.jpg,0.000171547149902
9,a woman and woman standing next to each other.,../friends/58.jpg,0.00026172631247
10,a group of people standing around a kitchen counter.,../friends/8.jpg,0.00210385933201
11,a blue blue and blue sign on a blue wall.,../friends/66.jpg,5.5348049405e-05
12,a blue and blue sign on a blue wall.,../friends/67.jpg,0.000196697362216
13,a group of people sitting around a table.,../friends/9.jpg,0.00113460227721
14,a couple of women standing next to each other.,../friends/14.jpg,0.00161059882715
15,a man and a woman are talking on a cell phone.,../friends/28.jpg,0.000561643997283
16,a woman is sitting in a room with a book.,../friends/29.jpg,1.08539610126e-05
17,a couple of people standing next to each other.,../friends/15.jpg,0.0024446401428
18,a woman standing in front of a window.,../friends/17.jpg,8.36020505162e-05
19,a couple of women standing next to each other.,../friends/16.jpg,0.00193858364379
20,a group of people sitting around a table.,../friends/12.jpg,0.000824578684501
21,a woman holding a nintendo wii game controller.,../friends/13.jpg,0.0046385570038
22,a woman standing next to a woman holding a cell phone.,../friends/39.jpg,0.000624552945642
23,a woman is sitting at a table with a glass of wine.,../friends/11.jpg,7.34668150127e-05
24,a woman is sitting at a table with a plate of food.,../friends/10.jpg,0.000158271927794
25,a woman is looking at a cell phone.,../friends/38.jpg,0.000104475651732
26,a woman holding a cell phone in her hand.,../friends/21.jpg,0.00187610230744
27,a woman is standing in front of a mirror.,../friends/35.jpg,0.000410777581947
28,a man in a black shirt and a tie.,../friends/34.jpg,5.81701390142e-05
29,a woman is talking on a cell phone.,../friends/20.jpg,0.00424472019262
30,a man in a black shirt and tie.,../friends/36.jpg,6.69842219277e-05
31,a woman is talking on her cell phone.,../friends/22.jpg,0.00778133346153
32,a woman holding a cell phone in her hand.,../friends/23.jpg,0.000957227002939
33,a woman is sitting in front of a window.,../friends/37.jpg,2.93885139614e-05
34,a woman and a woman are playing a video game.,../friends/33.jpg,0.000426492875833
35,a woman is talking on a cell phone.,../friends/27.jpg,0.00271911621961
36,a woman is talking on a cell phone.,../friends/26.jpg,0.00610331863884
37,a little girl sitting on a bed with a teddy bear.,../friends/32.jpg,7.90621961694e-05
38,two women are talking on a cell phone.,../friends/18.jpg,0.00243442343549
39,a kitchen with a lot of pots and pans.,../friends/24.jpg,4.36333003039e-06
40,a couple of women sitting on top of a bed.,../friends/30.jpg,0.000239466049934
41,a young boy is playing a video game.,../friends/31.jpg,0.00184954393173
42,a large building with a large clock on it.,../friends/25.jpg,9.45101571741e-06
43,a woman holding a cell phone in her hand.,../friends/19.jpg,0.000839639877015
44,a man and a woman standing in front of a building.,../friends/42.jpg,3.96941520664e-05
45,a man holding a cell phone in his hand.,../friends/4.jpg,0.00127592634101
46,a young girl is eating a piece of cake.,../friends/56.jpg,0.000245761985543
47,a man is holding a glass of wine.,../friends/5.jpg,0.000768032206531
48,a woman is standing in front of a mirror.,../friends/57.jpg,0.00042622525149
49,a woman standing in front of a mirror.,../friends/43.jpg,0.000656543460774
50,a man standing next to a woman holding a cell phone.,../friends/55.jpg,4.21852862736e-05
51,a man standing in front of a counter top.,../friends/7.jpg,0.000264755621476
52,a woman standing in front of a mirror.,../friends/41.jpg,0.000365308777573
53,a woman standing in front of a mirror.,../friends/40.jpg,0.00066223488144
54,a group of people standing around a table.,../friends/54.jpg,0.000750928654884
55,a man standing in front of a kitchen counter.,../friends/6.jpg,0.000251796529858
56,a group of people sitting around a table.,../friends/2.jpg,0.00500547824679
57,a woman standing in front of a mirror with a remote.,../friends/50.jpg,1.2842766536e-05
58,a young girl holding a wii controller.,../friends/44.jpg,1.88885063969e-05
59,a woman in a white shirt and tie.,../friends/45.jpg,7.6089648663e-05
60,a couple of people are playing a video game.,../friends/3.jpg,0.000503145275535
61,a woman in a white shirt holding a cell phone.,../friends/51.jpg,2.59032114079e-05
62,a woman standing in a room holding a remote.,../friends/47.jpg,0.000119388492713
63,a couple of people standing in a room.,../friends/53.jpg,0.000280357415216
64,a group of people sitting around a table.,../friends/1.jpg,0.00108773513073
65,a woman standing in a room holding a wii controller.,../friends/52.jpg,0.000335342063133
66,a couple of people sitting on a couch.,../friends/0.jpg,0.00206625692268
67,a woman in a white shirt is holding a piece of cake.,../friends/46.jpg,5.26430612283e-06
